Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,FT50,PDF
Meta-Analysis of the Impact of Research Methods on Findings of First-Mover Advantage.,"VanderWerf, Pieter A.; Mahon, John F.",Management Science,00251909,,Nov97,43,11,1510,10,9712022383,,INFORMS: Institute for Operations Research,Article,Market entry; Competitive advantage in business; Business planning; Industrial laws & legislation; Market share; Financial performance; Break-even analysis; Success in business; Meta-analysis,First-Mover Advantage; Market Pioneer,"A long-standing hypothesis is that firms that enter a market early (""first movers"") tend to have higher performance than their followers (""first-mover advantage""). Recently, researchers have begun to argue that the statistical tests that support this relationship are limited in their applicability. That is, it is suggested that because of the methods used, these tests show the relationship only for certain subsets of firms, markets, and types of performance. We performed a meta-analysis to determine whether the findings are in fact sensitive to the methods used. We discovered that tests using market share as their performance measure were sharply and significantly more likely to find a first-mover advantage than tests using other measures (such as profitability or survival). Also significantly more likely to find an advantage were tests that sample from individually selected industries and those that include no measures of the entrants' competitive strength. Conversely, we found little evidence that ""survivor bias"" (the exclusion of nonsurviving entrants from the sample) affects a test's findings. The data further suggest that tests that use none of the questioned research practices will find a first-mover advantage no more often than can be accounted for by random statistical error alone.",FT50,Y
Rushes in Large Timing Games.,"Anderson, Axel; Smith, Lones; Park, Andreas",Econometrica,00129682,,May2017,85,3,871,43,123458875,10.3982/ECTA13089,Wiley-Blackwell,Article,Time series analysis; Time; Inertia (Mechanics); Phenomenology; Experience,bank runs; bubbles; population games; pre-emption game; sorority rushes; Timing games; tipping; war of attrition,"We develop a continuum player timing game that subsumes standard wars of attrition and pre-emption games, and introduces a new rushes phenomenon. Payoffs are continuous and single-peaked functions of the stopping time and stopping quantile. We show that if payoffs are hump-shaped in the quantile, then a sudden 'rush' of players stops in any Nash or subgame perfect equilibrium. Fear relaxes the first mover advantage in pre-emption games, asking that the least quantile beat the average; greed relaxes the last mover advantage in wars of attrition, asking just that the last quantile payoff exceed the average. With greed, play is inefficiently late: an accelerating war of attrition starting at optimal time, followed by a rush. With fear, play is inefficiently early: a slowing pre-emption game, ending at the optimal time, preceded by a rush. The theory predicts the length, duration, and intensity of stopping, and the size and timing of rushes, and offers insights for many common timing games.",FT50,Y
THE ROLE OF ENVIRONMENTAL DYNAMICS IN BUILDING A FIRST MOVER ADVANTAGE THEORY.,"SUAREZ, FERNANDO F.; LANZOLLA, GIANVITO",Academy of Management Review,03637425,,Apr2007,32,2,377,16,24349587,10.5465/AMR.2007.24349587,Academy of Management,Article,Marketing planning; Economic competition; Business; Management literature; Business intelligence; Market share; Administrative Management and General Management Consulting Services; Research management,,"We advance first mover advantage (FMA) theory by examining how the pace of market evolution and technology evolution potentially enables or disables FMA. Integrating several streams of literature, we elaborate on the interplay among these two environmental (macro) conditions and the ""isolating mechanisms"" that underpin FMA. We model these dynamics to help researchers negotiate the current debate, arising from conflicting empirical evidence, on the conditions necessary for FMA to exist.",FT50,Y
Competitive Behavior-Based Price Discrimination for Software Upgrades.,"Mehra, Amit; Bala, Ram; Sankaranarayanan, Ramesh",Information Systems Research,10477047,,Mar2012,23,1,60,15,76359378,10.1287/isre.1100.0291,INFORMS: Institute for Operations Research,Article,"Computer software development; Price discrimination; Computer software industry; New product development; Market prices; Custom Computer Programming Services; Computer systems design and related services (except video game design and development); Software publishers (except video game publishers); Software Publishers; Computer and software stores; Computer, computer peripheral and pre-packaged software merchant wholesalers; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Marketing Consulting Services; Competition",behavior-based pricing; competitive strategy; forward-looking customers; software upgrades; switching costs,"The introduction of product upgrades in a competitive environment is commonly observed in the software industry. When introducing a new product, a software vendor may employ behavior-based price discrimination (BBPD) by offering a discount over its market price to entice existing customers of the competitor. This type of pricing is referred to as competitive upgrade discount pricing and is possible because the vendor can use proof of purchase of a competitor's product as credible evidence to offer the discount. At the same time, the competitor may offer a discount to its own previous customers in order to induce them to buy its upgrade. We formulate a game-theoretic model involving an incumbent and entrant where both firms can offer discounts to existing customers of the incumbent. Although several equilibrium possibilities exist, we establish that an equilibrium with competitive upgrade discount pricing is observed only for a unique market structure and a corresponding unique set of prices. In this equilibrium, instead of leveraging its first mover advantage, the incumbent cedes market share to the entrant. Furthermore, the profits of both the incumbent and the entrant reduce with switching costs. This implies that the use of BBPD has product design implications because firms may influence the switching costs between their products by making appropriate compatibility decisions. In addition, lower switching costs result in reduced consumer surplus. Hence, a social planner may want to increase switching costs. The resulting policy implications are different from those prevalent in other industries such as mobile telecommunications where the regulators reduced switching costs by enforcing number portability.",FT50,Y
Debt and Capacity Commitments*.,"Leach, J. Chris; Moyen, Nathalie; Yang, Jing",Review of Finance,15723097,,Oct2013,17,4,1365,35,88148413,,Oxford University Press / USA,Article,Capital investments; Debt; FINANCE; Production (Economic theory); Industrial capacity; Economic competition; First-mover advantage; Capital intensive industries,D24; D43; G32,"In capital-intensive industries, firms face complicated multi-staged financing, investment, and production decisions under the watchful eye of existing and potential industry rivals. In various representations of this environment, we show that a first-mover advantage in debt weakly dominates a first-mover advantage in capacity. Without a first-mover advantage in debt, the incumbent may suffer a dead-weight loss. When both the entrant and incumbent deploy debt prior to capacity, a first-mover in capacity benefits from softer competition. With a long-purse debt cost, leading in debt still remains advantageous.",FT50,Y
DIALOGUE.,"Verbeke, Alain; Rugman, Alan M.; Nehrt, Chad; Orlitzky, Marc; Jacobs, David; Locke, Edwin A.; Becker, Thomas E.",Academy of Management Review,03637425,,Oct98,23,4,653,7,15875917,10.5465/AMR.1998.15875917,Academy of Management,Article,"Management research; Environmental regulations; Host countries (Business); International business enterprises; Globalization; Administration of Air and Water Resource and Solid Waste Management Programs; Verbeke, Alain; Orlitzky, Marc; Locke, Edwin A.; Jacobs, David; Rugman, Alan M.; Becker, Thomas E.",,"The article contains four essays about management research. The article by Chad Nehrt (1998), which focuses on first mover advantage for multinational corporations (MNC), is discussed, as well as challenges relating to environmental regulation in host countries. Chad Nehrt defends his article, responds to the criticism of Alain Verbeke and Alan M. Rugman, and comments on their article about environmental regulation and MNC strategy. Marc Orlitzky and David Jacobs discuss objectivism, which was a focus in the article by Edwin A. Locke and Thomas E. Becker, who respond by introducing issues such as extrospection and value judgments.",FT50,Y
Do switching costs mediate the relationship between entry timing and performance?,"Gómez, Jaime; Maícas, Juan Pablo",Strategic Management Journal,01432095,,Dec2011,32,12,1251,19,66214150,10.1002/smj.931,Wiley-Blackwell,Article,Market entry; Mobile communication systems; Economic competition; Cost; First-mover advantage; Competitive advantage in business; Strategic planning; Mathematical models; Europe; Wireless Telecommunications Carriers (except Satellite); Performance; Uncertainty; Heterogeneity; Measurement errors,,"The purpose of this paper is to test the effectiveness of switching costs as an isolating mechanism in the context of the first-mover advantage theory. Whereas both the literature on switching costs and on pioneering propose this as a mechanism through which firms could obtain sustainable competitive advantage, other authors offer a rationale for thinking that this is not the case. We test our hypotheses in the context of the European mobile telecommunications industry. This is a sector that has been characterized by high rates of growth in the number of subscribers, which could reduce the effectiveness of switching costs from being effective as an isolating mechanism. Our results show that switching costs are an important tool through which first-mover advantages materialize. Copyright © 2011 John Wiley & Sons, Ltd.",FT50,Y
First Movers and Performance: Timing Is Everything.,"Short, Jeremy C.; Payne, G. Tyge",Academy of Management Review,03637425,,Jan2008,33,1,267,3,27752850,10.5465/AMR.2008.27752850,Academy of Management,Article,First-mover advantage; New product development -- Marketing; Market share; Market penetration; Market entry; Time to market (New products); Product management; Strategic planning; Business planning; Lead time (Project management); Competitive advantage in business; Marketing strategy; Marketing Consulting Services; Competition,,"In this article the author examines business concepts advanced in the article ""The Role of Environmental Dynamics in Building a First Mover Advantage Theory."" Noted is the efficacy of the contention that first mover advantage applies to individual types of products and certain industries and that this quality is associated with market share measured against that of the competition. The author of the article examines the importance of lead time on the successful launch of a new product. Also discussed is the business strategy associated with first mover advantage and the cyclical timing associated with the marketing concept.",FT50,Y
Pricing Games and Impact of Private Demand Information in Decentralized Assembly Systems.,"Kalkancı, Başak; Erhun, Feryal",Operations Research,0030364X,,Sep/Oct2012,60,5,1142,15,83362428,,INFORMS: Institute for Operations Research,Article,Contracts; Profit -- Mathematical models; Suppliers; Economic equilibrium; Demand (Economic theory); Sequences (Mathematics),,"This paper analyzes decentralized assembly systems under asymmetric demand information and sequential contracting. We reveal new insights on the value of contract type (price-only versus complex), demand information (complete versus asymmetric), and contract sequence (first mover versus second mover) to different players. Our results for the basic model show the following: (1) Complex contracts increase the suppliers' aggregate profit; however, individual suppliers do not necessarily benefit from a complex contracting equilibrium. We identify the conditions under which each supplier benefits from such an equilibrium. (2) Eliminating information asymmetry is not always beneficial for the suppliers because obtaining information might bring only marginal value and hence might not be realistically justified. Furthermore, a downstream supplier might prefer information asymmetry to complete information, especially when demand variability is moderate. (3) Unless there is a high demand risk, the first-mover advantage is prevalent when the assembler is a price-taker. We extend our basic model to analyze two additional scenarios. First, we study cases where the suppliers may offer contracts of different complexity. Beyond enriching our understanding of contract choice in decentralized assembly systems, such variations enhance the analysis beyond the standard methodology of principal-agent models and utilize solution techniques from optimal control. Second, we analyze the situation where the suppliers may possess different levels of information on demand under complex contracts. We show that an upstream supplier always benefits from a downstream supplier's superior information. However, the additional information might decrease the downstream supplier's profit, especially when the forecast variability is low compared to the total demand variability in the system. Our results for the basic model and its extensions confirm that studying interactions between suppliers, specifically under different contract types and information structures, in assembly systems presents rich opportunities for future research.",FT50,Y
Psychological Pressure in Competitive Environments: Evidence from a Randomized Natural Experiment.,"Apesteguia, Jose; Palacios-Huerta, Ignacio",American Economic Review,00028282,,Dec2010,100,5,2548,17,55703993,10.1257/aer.100.5.2548,American Economic Association,Article,Economics & psychology; Economic models; Research and Development in the Social Sciences and Humanities; Soccer; Performance -- Psychological aspects; Soccer -- Penalty kicking; Psychological research,,"Emotions can have important effects on performance and socioeconomic outcomes. We study a natural experiment where two teams of professionals compete in a tournament taking turns in a sequence. As the sequential order is determined by the random outcome of a coin flip, the treatment and control groups are determined via explicit randomization. Hence, absent any psychological effects, both teams should have the same probability of winning. Yet, we find a systematic first-mover advantage. Further, professionals are self-aware of their own psychological effects and, when given the chance, they rationally react by systematically taking advantage of these effects. ( JEL C93, D03, D82, L83)",FT50,Y
Psychological Pressure in Competitive Environments: New Evidence from Randomized Natural Experiments.,"Kocher, Martin G.; Lenz, Marc V.; Sutter, Matthias",Management Science,00251909,,Aug2012,58,8,1585,7,84308467,10.1287/mnsc.1110.1516,INFORMS: Institute for Operations Research,Article,Economic competition; First-mover advantage; Field work (Research); Stress (Psychology); Soccer; Sports penalties; Feedback (Psychology); A priori,field experiment; first-mover advantage; penalty; psychological pressure; shootouts; soccer; tournament,"Dynamic competitive settings may create psychological pressure when feedback about the performance of competitors is provided before the end of the competition. Such psychological pressure could produce a first-mover advantage, despite a priori equal winning probabilities. Using data from a randomized natural experiment--penalty shootouts in soccer--we reexamine evidence by Apesteguia and Palacios-Huerta[Apesteguia J, Palacios-Huerta I (2010) Psychological pressure in competitive environments: Evidence from a randomized natural experiment. Amer. Econom. Rev. 100(5):2548-2564]. They report a 21-percentage--point advantage for first movers over second movers in terms of winning probabilities. Extending their sample of 129 shootouts to 540, we fail to detect any significant first-mover advantage. Our results are fully consistent with recent evidence from other sports contests.",FT50,Y
Standing United or Falling Divided? High Stakes Bargaining in a TV Game Show†.,"van Dolder, Dennie; van den Assem, Martijn J.; Camerer, Colin F.; Thaler, Richard H.",American Economic Review,00028282,,May2015,105,5,402,6,102579661,10.1257/aer.p20151017,American Economic Association,Article,Negotiation -- Mathematical models; Television game programs -- Social aspects; Negotiation -- Social aspects; Concession bargaining; Equality -- Social aspects; Human behavior -- Economic aspects; Divided (TV program),,"We examine high stakes three-person bargaining in a game show where contestants bargain over a large money amount that is split into three unequal shares. We find that individual behavior and outcomes are strongly influenced by equity concerns: those who contributed more to the jackpot claim larger shares, are less likely to make concessions, and take home larger amounts. Contestants who announce that they will not back down do well relative to others, but they do not secure larger absolute amounts and they harm others. There is no evidence of a first-mover advantage and little evidence that demographic characteristics matter.",FT50,Y
Swift and Smart: The Moderating Effects of Technological Capabilities on the Market Pioneering--Firm Survival Relationship.,"Franco, April M.; Sarkar, M. B.; Agarwal, Rajshree; Echambadi, Raj",Management Science,00251909,,Nov2009,55,11,1842,19,45127345,,INFORMS: Institute for Operations Research,Article,Technological innovations; High technology; New product development; Management science; Business planning; Industrial management; Marketing Consulting Services,dynamic capabilities; entrepreneurship; first-mover advantage; industry evolution; strategy; technology strategy,"We extend the concept of first-mover advantage to the context of high-technology industries with multiple product generations, and propose that the notion of first-mover advantage needs to be viewed not only through a dynamic lens, but also in conjunction with technological capability. Our main finding is that first-mover advantages are best understood in tandem with the firm's technological capabilities; early entry is beneficial only for pioneers that are technically strong. However, pioneers that are low on technological capabilities suffer from poor survival rates vis-à-vis market responders or nonentrants into new product generations.",FT50,Y
The information-anchoring model of first offers: When moving first helps versus hurts negotiators.,"Loschelder, David D.; Swaab, Roderick I.; Trötschel, Roman; Friese, Malte; Galinsky, Adam D.",Journal of Applied Psychology,00219010,,Jul2016,101,7,995,18,116544723,10.1037/apl0000096,American Psychological Association,journal article,Negotiation; Anchoring effect; Information modeling; Social values; Orientation (Psychology),anchoring; first offer; integrative potential; negotiations; social value orientation,"Does making the first offer increase or impair a negotiator's outcomes? Past research has found evidence supporting both claims. To reconcile these contradictory findings, we developed and tested an integrative model-the Information-Anchoring Model of First Offers. The model predicts when and why making the first offer helps versus hurts. We suggest that first offers have 2 effects. First, they serve as anchors that pull final settlements toward the initial first-offer value; this anchor function often produces a first-mover advantage. Second, first offers can convey information on the senders' priorities, which makes the sender vulnerable to exploitation and increases the risk of a first-mover disadvantage. To test this model, 3 experiments manipulated the information that senders communicated in their first offer. When senders did not reveal their priorities, the first-mover advantage was replicated. However, when first offers revealed senders' priorities explicitly, implicitly, or both, a first-mover disadvantage emerged. Negotiators' social value orientation moderated this effect: A first-mover disadvantage occurred when senders faced proself recipients who exploited priority information, but not with prosocial recipients. Moderated mediation analyses supported the model assumptions: Proself recipients used their integrative insight to feign priorities in their low-priority issues and thereby claimed more individual value than senders. The final discussion reviews theoretical and applied implications of the Information-Anchoring Model of First Offers. (PsycINFO Database Record",FT50,N
The Supply Chain Effects of Bankruptcy.,"Yang, S. Alex; Birge, John R.; Parker, Rodney P.",Management Science,00251909,,Oct2015,61,10,2320,19,111008459,10.1287/mnsc.2014.2079,INFORMS: Institute for Operations Research,Article,Corporate bankruptcy; Supply chain management; Corporate reorganizations; Supply chains; United States. Bankruptcy; Organizational behavior research,bankruptcy; operational competitiveness; operations-finance interface; supply chain interaction,"This paper examines how a firm's financial distress and the legal environment regarding the ease of bankruptcy reorganization can alter product market competition and supplier-buyer relationships. We identify three effects--predation, bail-out, and abetment--that can change firms' behavior from their actions in the absence of financial distress. The predation effect increases competition before potential bankruptcy as the nondistressed competitor behaves as if it has some first-mover advantage that could benefit a supplier with price control. The bail-out effect reflects the supplier's incentive to grant the distressed firm concessions to preserve competition, improving supply chain efficiency and providing support for the exclusivity rule in Chapter 11 of the United States Bankruptcy Code when the supplier and the distressed firm are financially linked. The abetment effect is that the supplier may deliberately abet the competitor's predation, leading to increased operational disadvantages for the distressed firm before bankruptcy. Together these effects stress that a firm's bankruptcy potential can hurt its competitors and benefit its suppliers/customers. They also provide guidelines for firms' operational decisions in such situations, a rationale for observed firm actions surrounding bankruptcies, and motivation for policies supporting reorganization and relaxing broad enforcement of nondiscriminatory pricing regulations.",FT50,Y
Adoption of Information Technology Under Network Effects.,"Deishin Lee; Mendelson, Haim",Information Systems Research,10477047,,Dec2007,18,4,395,19,28652953,,INFORMS: Institute for Operations Research,Article,Information technology; Information & communication technologies; Network effect; Value (Economics); Computer networks; Information networks; Computer Systems Design Services,adoption; compatibility; first mover; information technology; network effects; standards,"Because information technologies are often characterized by network effects, compatibility is an important issue. Although total network value is maximized when everyone operates in one compatible network, we find that the technology benefits for the users depend on vendor incentives, which are driven by the existence of ""de facto"" or ""de jure"" standards. In head-to-head competition, customers are better off ""letting a thousand flowers bloom,"" fostering fierce competition that results in a de facto standard if users prefer compatibility over individual fit, or a split market if fit is more important. In contrast, firms that sponsor these products are better off establishing an up-front, de jure standard to lessen the competitive effects of a network market. However, if a firm is able to enter the market first by choosing a proprietary/incompatible technology, it can use a ""divide-and-conquer"" strategy to increase its profit compared with head-to-head competition, even when there are no switching costs. When there is a first mover, the early adopters, who are ""locked in"" because of switching costs, never regret their decision to adopt, whereas the late adopters, who are not subject to switching costs, are exploited by the incumbent firm. In head-to-head competition, customers are unified in their preference for incompatibility when there is a first mover; late adopters prefer de jure compatibility because they bear the brunt of the first-mover advantage. This again underscores the interdependence of user net benefits and vendor strategies.",FT50,Y
Cross-Market Network Effect with Asymmetric Customer Loyalty: Implications for Competitive Advantage.,Yuxin Chen; Jinhong Xie,Marketing Science,07322399,,Jan/Feb2007,26,1,52,15,24496391,,INFORMS: Institute for Operations Research,Article,Customer loyalty; Competitive advantage in business; Newspaper publishing; Markets; Market share; Profit; Newspaper Publishers,competitive advantage; cross-market network effect; customer loyalty; first-mover advantage; newspaper industry; two-sided markets,"Across-market network effect exists in many industries (e.g., newspaper publishing, media, software) in which a seller sells both a primary and a secondary product (e.g., a newspaper publisher sells newspapers to readers and advertising space to advertisers), and the value of the secondary product depends on the size of the user base of the primary product. This paper examines the competitive implications of asymmetric customer loyalty in such markets. In traditional markets, an advantage in customer loyalty generates a profit advantage. We show here, however, that in the presence of a cross-market network effect, a midlevel of loyalty advantage in the primary product market can lead to an overall profit disadvantage. This surprising result is derived from the interdependence of the two markets, whereby a profit in one market may be gained at the cost of the other, and by the positive relationship between a larger loyalty segment and a higher opportunity cost of price competition in the product of the primary market. Extending our model to a two-period entry game also shows that under certain conditions, the entrant with disadvantage in customer loyalty can outperform the incumbent in profit and market share. This result suggests that asymmetry in customer loyalty can be a source of ""first-mover"" advantage or disadvantage.",FT50,Y
